AO DispatchRays,AtrousWaveletTransformFilter,CalculateAmbientOcclusion,CalculatePartialDerivatives,CompositionCS,Denoise,Disocclusions blur,Pathtracing,RTAO,Temporal Supersampling p1 (Reverse Reprojection),Temporal Supersampling p2 (BlendWithCurrentFrame),
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
  0.397   ,   0.31   ,  0.397   , 0.0411   ,  0.344   ,   1.19   ,    0.2   ,   1.48   ,   1.59   ,  0.342   ,  0.338   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
   0.49   ,  0.324   ,  0.491   , 0.0407   ,  0.289   ,   1.08   ,  0.203   ,   1.57   ,   1.57   ,  0.259   ,  0.294   ,
